//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 9-4-2026
//--  Time: 16:58
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:0, 5     AFR:7.05, 22.09
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	7.05	71 	0.000
1	7.06	71 	0.005
2	7.08	71 	0.010
3	7.09	71 	0.015
4	7.11	71 	0.020
5	7.12	71 	0.024
6	7.14	71 	0.029
7	7.15	72 	0.034
8	7.17	72 	0.039
9	7.18	72 	0.044
10	7.20	72 	0.049
11	7.21	72 	0.054
12	7.23	72 	0.059
13	7.24	72 	0.063
14	7.26	73 	0.068
15	7.27	73 	0.073
16	7.29	73 	0.078
17	7.30	73 	0.083
18	7.31	73 	0.088
19	7.33	73 	0.093
20	7.34	73 	0.098
21	7.36	74 	0.103
22	7.37	74 	0.107
23	7.39	74 	0.112
24	7.40	74 	0.117
25	7.42	74 	0.122
26	7.43	74 	0.127
27	7.45	74 	0.132
28	7.46	75 	0.137
29	7.48	75 	0.142
30	7.49	75 	0.146
31	7.51	75 	0.151
32	7.52	75 	0.156
33	7.53	75 	0.161
34	7.55	75 	0.166
35	7.56	76 	0.171
36	7.58	76 	0.176
37	7.59	76 	0.181
38	7.61	76 	0.186
39	7.62	76 	0.190
40	7.64	76 	0.195
41	7.65	77 	0.200
42	7.67	77 	0.205
43	7.68	77 	0.210
44	7.70	77 	0.215
45	7.71	77 	0.220
46	7.73	77 	0.225
47	7.74	77 	0.229
48	7.76	78 	0.234
49	7.77	78 	0.239
50	7.78	78 	0.244
51	7.80	78 	0.249
52	7.81	78 	0.254
53	7.83	78 	0.259
54	7.84	78 	0.264
55	7.86	79 	0.269
56	7.87	79 	0.273
57	7.89	79 	0.278
58	7.90	79 	0.283
59	7.92	79 	0.288
60	7.93	79 	0.293
61	7.95	79 	0.298
62	7.96	80 	0.303
63	7.98	80 	0.308
64	7.99	80 	0.313
65	8.00	80 	0.317
66	8.02	80 	0.322
67	8.03	80 	0.327
68	8.05	80 	0.332
69	8.06	81 	0.337
70	8.08	81 	0.342
71	8.09	81 	0.347
72	8.11	81 	0.352
73	8.12	81 	0.356
74	8.14	81 	0.361
75	8.15	82 	0.366
76	8.17	82 	0.371
77	8.18	82 	0.376
78	8.20	82 	0.381
79	8.21	82 	0.386
80	8.23	82 	0.391
81	8.24	82 	0.396
82	8.25	83 	0.400
83	8.27	83 	0.405
84	8.28	83 	0.410
85	8.30	83 	0.415
86	8.31	83 	0.420
87	8.33	83 	0.425
88	8.34	83 	0.430
89	8.36	84 	0.435
90	8.37	84 	0.439
91	8.39	84 	0.444
92	8.40	84 	0.449
93	8.42	84 	0.454
94	8.43	84 	0.459
95	8.45	84 	0.464
96	8.46	85 	0.469
97	8.47	85 	0.474
98	8.49	85 	0.479
99	8.50	85 	0.483
100	8.52	85 	0.488
101	8.53	85 	0.493
102	8.55	85 	0.498
103	8.56	86 	0.503
